name,date,open,high,low,close,volume
AAPL,13-Jul-2015,125.029999,129.619995,124.32,129.619995,37848900
AAPL,20-Jul-2015,130.970001,132.970001,121.989998,124.5,68853800
AAPL,27-Jul-2015,123.089996,123.910004,120.910004,121.300003,38319700
AAPL,03-Aug-2015,121.5,122.57,112.099998,115.519997,77000100
AAPL,10-Aug-2015,116.529999,119.989998,109.629997,115.959999,68943400
AAPL,17-Aug-2015,116.040001,117.650002,105.650002,105.760002,63933600
AAPL,24-Aug-2015,94.870003,113.309998,92,113.290001,100072600
AAPL,31-Aug-2015,112.029999,114.529999,107.360001,109.269997,59638800
AAPL,08-Sep-2015,111.75,114.209999,109.769997,114.209999,63165600
AAPL,14-Sep-2015,116.580002,116.889999,111.870003,113.449997,55455200
AAPL,21-Sep-2015,113.669998,116.690002,112.370003,114.709999,48539200
AAPL,28-Sep-2015,113.849998,114.57,107.309998,110.379997,62779200
AAPL,05-Oct-2015,109.879997,112.279999,108.209999,112.120003,52486600
AAPL,12-Oct-2015,112.730003,112.75,109.559998,111.040001,36777700
AAPL,19-Oct-2015,110.800003,119.230003,110.110001,119.080002,44308600
AAPL,26-Oct-2015,118.080002,121.220001,113.989998,119.5,64472400
AAPL,02-Nov-2015,120.800003,123.82,119.610001,121.059998,39040600
AAPL,09-Nov-2015,120.959999,121.809998,112.269997,112.339996,43311000
AAPL,16-Nov-2015,111.379997,119.919998,111,119.300003,37996200
AAPL,23-Nov-2015,119.269997,119.730003,117.120003,117.809998,27430100
AAPL,30-Nov-2015,117.989998,119.410004,114.220001,119.029999,41353100
AAPL,07-Dec-2015,118.980003,119.860001,112.849998,113.18,37770800
AAPL,14-Dec-2015,112.18,112.800003,105.809998,106.029999,62952200
AAPL,21-Dec-2015,107.279999,109,105.57,108.029999,31658500
AAPL,28-Dec-2015,107.589996,109.43,104.82,105.260002,30940300
MSFT,02-Jan-2015,46.66,47.419998,46.540001,46.759998,27913900
MSFT,05-Jan-2015,46.369999,47.82,45.490002,47.189999,31764700
MSFT,12-Jan-2015,47.419998,47.91,45.169998,46.240002,31415900
MSFT,20-Jan-2015,46.299999,47.389999,45.48,47.18,34338100
MSFT,26-Jan-2015,47,47.130001,40.349998,40.400002,87557300
MSFT,02-Feb-2015,40.59,42.790001,40.23,42.41,42981900
MSFT,09-Feb-2015,42.240002,43.869999,42.18,43.869999,34569600
MSFT,17-Feb-2015,43.970001,44,43.049999,43.860001,29532900
MSFT,23-Feb-2015,43.700001,44.299999,43.650002,43.849998,30063000
MSFT,02-Mar-2015,43.669998,44.189999,42.150002,42.360001,29772700
MSFT,09-Mar-2015,42.189999,43.130001,40.610001,41.380001,44296600
MSFT,16-Mar-2015,41.470001,42.98,41.150002,42.880001,43385000
